"filename", "language", "C#", "comment", "blank", "total"
"c:\fish\fish\Assets\Scripts\Fish.cs", "C#", 487, 30, 30, 547
"c:\fish\fish\Assets\Scripts\FishSpawner.cs", "C#", 52, 0, 2, 54
"c:\fish\fish\Assets\Scripts\Food.cs", "C#", 34, 2, 3, 39
"c:\fish\fish\Assets\Scripts\FoodSpawner.cs", "C#", 26, 11, 4, 41
"c:\fish\fish\Assets\Scripts\Predator.cs", "C#", 491, 15, 27, 533
"c:\fish\fish\Assets\Scripts\PredatorSpawner.cs", "C#", 50, 0, 2, 52
"c:\fish\fish\Assets\Scripts\SaveToCsv.cs", "C#", 91, 6, 11, 108
"c:\fish\fish\Assets\Scripts\StatScript.cs", "C#", 23, 0, 2, 25
"Total", "-", 1254, 64, 81, 1399
