Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator
38.64742,52,31,21,2.978618,9.202166,35.39878,7.97203,7.749597,31.94919,147.7047,4.610019,23.90355,18.64408,0.0393462,0.03593519,2.981768
39.65696,49,28,21,2.984022,9.211234,35.63015,8.043502,7.760667,31.70466,148.879,4.630927,24.10272,18.35809,0.03904171,0.03732327,3.034258
40.67471,47,28,19,2.991962,9.219753,35.83591,7.882323,7.670435,31.69978,149.5243,4.689334,23.779,18.34233,0.03964742,0.03692713,3.006128
41.68292,43,25,18,2.994231,9.44535,35.21973,8.142958,7.400334,31.18351,149.8639,4.710543,24.47032,19.02023,0.04063763,0.03593906,3.026314
42.72193,43,25,18,2.994231,9.44535,35.21973,8.142958,7.400334,31.18351,149.8639,4.710543,24.47032,19.02023,0.04063763,0.03593906,3.026314
43.75324,38,22,16,3.003702,9.20103,35.22266,8.157635,7.567738,29.30214,149.6021,4.727225,25.78661,19.31691,0.04155302,0.03760993,2.951629
44.76239,37,21,16,3.014525,9.059309,35.15716,8.196555,7.659508,29.57608,150.6772,4.774609,25.1709,19.82262,0.04212372,0.03826195,2.90478
45.75937,35,19,16,2.988346,8.96662,35.31903,8.294736,7.505692,29.27315,151.6256,4.891968,25.2034,18.8564,0.04279594,0.03609413,2.920505
46.80511,33,18,15,2.971437,9.133033,35.32182,8.374643,7.504778,30.19233,151.1244,4.91188,26.05389,17.65981,0.04294377,0.03716149,2.901973
47.83987,31,17,14,2.965009,8.836425,34.56055,8.463994,7.535174,30.28177,152.037,4.781933,26.36047,17.536,0.04317401,0.03556578,2.978142
48.88704,30,16,14,2.991465,8.995957,34.30033,8.369305,7.649411,30.75067,152.3146,4.836946,25.92661,17.16426,0.04370526,0.03351016,2.954444
49.89003,30,16,14,2.991465,8.995957,34.30033,8.369305,7.649411,30.75067,152.3146,4.836946,25.92661,17.16426,0.04370526,0.03351016,2.954444
50.9221,30,16,14,2.991465,8.995957,34.30033,8.369305,7.649411,30.75067,152.3146,4.836946,25.92661,17.16426,0.04370526,0.03351016,2.954444
51.97205,29,15,14,3.022458,8.925762,34.67633,8.433357,7.629968,30.80758,153.5156,4.911992,25.94566,17.35517,0.04432403,0.03419184,2.903693
53.00747,26,14,12,3.024069,8.810117,35.31029,8.415481,7.743265,29.97953,152.9147,5.014551,25.28092,16.60154,0.04505599,0.03196318,2.848302
54.00532,26,14,12,3.024069,8.810117,35.31029,8.415481,7.743265,29.97953,152.9147,5.014551,25.28092,16.60154,0.04505599,0.03196318,2.848302
55.03062,26,14,12,3.024069,8.810117,35.31029,8.415481,7.743265,29.97953,152.9147,5.014551,25.28092,16.60154,0.04505599,0.03196318,2.848302
56.07237,25,14,11,3.034482,9.014724,35.73723,8.65919,7.809957,29.8712,154.7787,5.145017,25.35563,17.09387,0.04544122,0.03258795,2.860121
57.11618,25,14,11,3.034482,9.014724,35.73723,8.65919,7.809957,29.8712,154.7787,5.145017,25.35563,17.09387,0.04544122,0.03258795,2.860121
58.12795,25,14,11,3.034482,9.014724,35.73723,8.65919,7.809957,29.8712,154.7787,5.145017,25.35563,17.09387,0.04544122,0.03258795,2.860121
59.19334,24,14,10,3.012349,8.752084,35.81696,8.569277,7.563699,30.15267,153.1807,5.269733,24.62835,17.68225,0.04551079,0.03331693,2.894056
60.21635,23,13,10,3.029598,8.581135,36.02647,8.32249,7.555021,30.79407,151.1801,5.350474,24.48919,17.25174,0.04695025,0.03363783,2.915571
61.25625,23,13,10,3.029598,8.581135,36.02647,8.32249,7.555021,30.79407,151.1801,5.350474,24.48919,17.25174,0.04695025,0.03363783,2.915571
62.29527,23,13,10,3.029598,8.581135,36.02647,8.32249,7.555021,30.79407,151.1801,5.350474,24.48919,17.25174,0.04695025,0.03363783,2.915571
63.32492,21,12,9,3.009981,8.500106,36.36632,8.877558,7.317186,31.05065,148.6953,5.471474,24.53298,17.36597,0.04749373,0.03429371,2.929321
64.37798,21,12,9,3.009981,8.500106,36.36632,8.877558,7.317186,31.05065,148.6953,5.471474,24.53298,17.36597,0.04749373,0.03429371,2.929321
65.43933,21,12,9,3.009981,8.500106,36.36632,8.877558,7.317186,31.05065,148.6953,5.471474,24.53298,17.36597,0.04749373,0.03429371,2.929321
66.46085,21,12,9,3.009981,8.500106,36.36632,8.877558,7.317186,31.05065,148.6953,5.471474,24.53298,17.36597,0.04749373,0.03429371,2.929321
67.47804,21,12,9,3.009981,8.500106,36.36632,8.877558,7.317186,31.05065,148.6953,5.471474,24.53298,17.36597,0.04749373,0.03429371,2.929321
68.50549,21,12,9,3.009981,8.500106,36.36632,8.877558,7.317186,31.05065,148.6953,5.471474,24.53298,17.36597,0.04749373,0.03429371,2.929321
69.51355,20,11,9,3.03254,8.685558,35.86441,8.829657,7.320142,31.08263,150.4163,5.43137,23.52625,16.70185,0.04815255,0.03454329,2.972269
70.59123,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
71.64253,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
72.72826,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
73.80413,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
74.88961,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
75.92533,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
76.96416,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
78.00058,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
79.00307,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
80.02325,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
81.04061,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
82.04974,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
83.11976,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
84.17481,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
85.20645,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
86.22843,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
87.26196,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
88.31859,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
89.41004,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
90.41,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
91.44198,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
92.53379,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
93.54049,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
94.5774,21,11,10,3.007851,8.961804,36.39227,8.861868,7.341676,29.94575,148.2183,5.351121,22.50968,17.12055,0.04736563,0.0339707,2.871586
95.60036,20,11,9,2.967463,9.101909,35.83223,8.796191,7.137168,29.58103,149.8043,5.285831,21.34265,17.87789,0.04741266,0.03456549,2.936867
96.6228,20,11,9,2.967463,9.101909,35.83223,8.796191,7.137168,29.58103,149.8043,5.285831,21.34265,17.87789,0.04741266,0.03456549,2.936867
97.6315,20,11,9,2.967463,9.101909,35.83223,8.796191,7.137168,29.58103,149.8043,5.285831,21.34265,17.87789,0.04741266,0.03456549,2.936867
98.68869,20,11,9,2.967463,9.101909,35.83223,8.796191,7.137168,29.58103,149.8043,5.285831,21.34265,17.87789,0.04741266,0.03456549,2.936867
99.73561,20,11,9,2.967463,9.101909,35.83223,8.796191,7.137168,29.58103,149.8043,5.285831,21.34265,17.87789,0.04741266,0.03456549,2.936867
100.7581,20,11,9,2.967463,9.101909,35.83223,8.796191,7.137168,29.58103,149.8043,5.285831,21.34265,17.87789,0.04741266,0.03456549,2.936867
101.7976,18,9,9,2.881871,9.321097,34.61816,8.521978,7.35074,29.83139,155.1526,5.222757,21.44854,18.69967,0.04809023,0.03580365,3.134877
102.8246,18,9,9,2.881871,9.321097,34.61816,8.521978,7.35074,29.83139,155.1526,5.222757,21.44854,18.69967,0.04809023,0.03580365,3.134877
103.9024,18,9,9,2.881871,9.321097,34.61816,8.521978,7.35074,29.83139,155.1526,5.222757,21.44854,18.69967,0.04809023,0.03580365,3.134877
104.9257,18,9,9,2.881871,9.321097,34.61816,8.521978,7.35074,29.83139,155.1526,5.222757,21.44854,18.69967,0.04809023,0.03580365,3.134877
105.9646,18,9,9,2.881871,9.321097,34.61816,8.521978,7.35074,29.83139,155.1526,5.222757,21.44854,18.69967,0.04809023,0.03580365,3.134877
107.0165,17,9,8,2.84743,9.393544,33.78138,8.583076,7.52797,30.56744,158.0396,5.440315,22.23479,17.87486,0.04714254,0.03711998,3.050148
108.0415,17,9,8,2.84743,9.393544,33.78138,8.583076,7.52797,30.56744,158.0396,5.440315,22.23479,17.87486,0.04714254,0.03711998,3.050148
109.0826,17,9,8,2.84743,9.393544,33.78138,8.583076,7.52797,30.56744,158.0396,5.440315,22.23479,17.87486,0.04714254,0.03711998,3.050148
110.1482,17,9,8,2.84743,9.393544,33.78138,8.583076,7.52797,30.56744,158.0396,5.440315,22.23479,17.87486,0.04714254,0.03711998,3.050148
111.2079,17,9,8,2.84743,9.393544,33.78138,8.583076,7.52797,30.56744,158.0396,5.440315,22.23479,17.87486,0.04714254,0.03711998,3.050148
112.2882,17,9,8,2.84743,9.393544,33.78138,8.583076,7.52797,30.56744,158.0396,5.440315,22.23479,17.87486,0.04714254,0.03711998,3.050148
113.3688,16,9,7,2.880424,9.074677,35.05689,8.52813,7.555248,31.72236,160.8681,5.57347,23.46439,17.48096,0.04390739,0.03828083,2.982774
114.4793,16,9,7,2.880424,9.074677,35.05689,8.52813,7.555248,31.72236,160.8681,5.57347,23.46439,17.48096,0.04390739,0.03828083,2.982774
115.4862,15,8,7,2.835179,9.257401,35.61346,8.360698,7.687173,31.13623,163.9222,5.498428,23.86159,18.07776,0.04510847,0.03768019,2.850922
116.4975,15,8,7,2.835179,9.257401,35.61346,8.360698,7.687173,31.13623,163.9222,5.498428,23.86159,18.07776,0.04510847,0.03768019,2.850922
117.6105,15,8,7,2.835179,9.257401,35.61346,8.360698,7.687173,31.13623,163.9222,5.498428,23.86159,18.07776,0.04510847,0.03768019,2.850922
118.646,15,8,7,2.835179,9.257401,35.61346,8.360698,7.687173,31.13623,163.9222,5.498428,23.86159,18.07776,0.04510847,0.03768019,2.850922
119.7003,15,8,7,2.835179,9.257401,35.61346,8.360698,7.687173,31.13623,163.9222,5.498428,23.86159,18.07776,0.04510847,0.03768019,2.850922
120.7539,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
121.8276,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
122.9012,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
124.0055,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
125.065,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
126.1476,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
127.2443,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
128.3587,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
129.4426,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
130.5422,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
131.5548,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
132.673,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
133.7929,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
134.8063,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
135.8413,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
136.9222,14,8,6,2.840612,8.911361,36.12553,8.23483,7.837533,30.50363,164.9709,5.442267,22.05476,18.18965,0.04729627,0.03374505,2.942194
138.0275,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
139.1382,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
140.264,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
141.3995,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
142.5211,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
143.5163,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
144.6487,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
145.6736,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
146.7145,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
147.7249,15,8,7,2.838392,8.603733,36.28508,8.560341,7.872904,29.63371,164.1868,5.613591,20.93045,17.52415,0.04561932,0.0328516,2.93832
148.7275,14,8,6,2.827046,8.838301,37.95207,8.547531,7.659762,30.08495,165.297,5.720912,19.9675,16.93413,0.04185368,0.03321472,2.973516
149.7281,13,8,5,2.809554,8.314394,37.65652,8.548236,7.814234,29.96971,166.5272,5.808228,18.2078,17.35248,0.03933457,0.03422403,2.987402
150.8675,13,8,5,2.809554,8.314394,37.65652,8.548236,7.814234,29.96971,166.5272,5.808228,18.2078,17.35248,0.03933457,0.03422403,2.987402
152.0093,13,8,5,2.809554,8.314394,37.65652,8.548236,7.814234,29.96971,166.5272,5.808228,18.2078,17.35248,0.03933457,0.03422403,2.987402
153.0083,13,8,5,2.809554,8.314394,37.65652,8.548236,7.814234,29.96971,166.5272,5.808228,18.2078,17.35248,0.03933457,0.03422403,2.987402
154.0444,13,8,5,2.809554,8.314394,37.65652,8.548236,7.814234,29.96971,166.5272,5.808228,18.2078,17.35248,0.03933457,0.03422403,2.987402
155.0941,12,7,5,2.718913,8.693231,37.40421,8.613,7.495386,31.07503,166.0912,6.081271,19.39177,16.78135,0.03462511,0.03345874,2.834618
156.1376,12,7,5,2.718913,8.693231,37.40421,8.613,7.495386,31.07503,166.0912,6.081271,19.39177,16.78135,0.03462511,0.03345874,2.834618
157.1568,11,6,5,2.735021,9.042593,37.41957,9.01331,7.388988,31.87932,166.9766,5.920699,20.53189,18.29663,0.03682049,0.03316909,2.999433
158.1862,10,6,4,2.777718,9.222953,37.7491,9.335439,7.158762,33.24719,167.9128,5.992251,22.12641,16.63888,0.035555,0.03338899,2.867331
159.1947,10,6,4,2.777718,9.222953,37.7491,9.335439,7.158762,33.24719,167.9128,5.992251,22.12641,16.63888,0.035555,0.03338899,2.867331
160.2011,10,6,4,2.777718,9.222953,37.7491,9.335439,7.158762,33.24719,167.9128,5.992251,22.12641,16.63888,0.035555,0.03338899,2.867331
161.2153,9,5,4,2.714048,8.814027,36.6415,9.332871,6.979668,32.66179,168.1804,6.279244,20.53369,18.2453,0.03661253,0.03123782,2.919344
