"filename", "language", "C#", "comment", "blank", "total"
"c:\fish\fish\Assets\Scripts\Fish.cs", "C#", 444, 11, 27, 482
"c:\fish\fish\Assets\Scripts\FishSpawner.cs", "C#", 52, 0, 2, 54
"c:\fish\fish\Assets\Scripts\Food.cs", "C#", 34, 2, 3, 39
"c:\fish\fish\Assets\Scripts\FoodSpawner.cs", "C#", 26, 11, 4, 41
"c:\fish\fish\Assets\Scripts\StatScript.cs", "C#", 23, 0, 2, 25
"Total", "-", 579, 24, 38, 641
